MalePatients,FemalePatients,ColonCancerPatients,ThroatCancerPatients,SkinCancerPatients,CancerConditions
,300,26,32,41,Progressing
485,434,2,27,46,Progressing
398,166,11,49,49,Stable
320,165,29,37,45,Stable
156,286,8,29,,Remission
121,154,36,45,5,Progressing
238,308,0,42,45,Remission
70,95,41,16,,Remission
152,360,48,8,33,Stable
171,380,3,27,36,Stable
264,265,14,,10,Remission
380,497,26,45,10,Progressing
137,350,7,27,24,Stable
422,459,22,16,18,Stable
149,,14,39,31,Stable
409,498,26,47,,Remission
201,73,30,43,7,Stable
,84,38,43,11,Progressing
199,73,46,4,40,Stable
358,,,4,34,Remission
307,65,29,13,5,Remission
393,,41,5,20,Remission
463,292,17,6,25,Remission
343,487,3,16,0,Progressing
,256,46,8,16,Remission
241,,,30,34,Stable
493,320,21,21,26,Progressing
326,298,2,44,49,Remission
,316,14,8,49,Remission
363,242,34,15,1,Progressing
71,384,46,35,35,Stable
302,267,37,33,,Progressing
285,164,32,44,9,Stable
394,117,,12,,Stable
98,348,47,18,36,Remission
108,374,0,11,,Progressing
219,446,48,35,40,Progressing
237,443,25,,,Remission
,124,7,15,12,Remission
239,152,,27,44,Stable
495,346,,18,23,Remission
224,227,37,,26,Progressing
495,264,9,5,0,Remission
100,,41,3,,Remission
413,,,29,19,Remission
104,308,25,38,7,Remission
293,253,27,30,2,Remission
369,56,11,45,48,Stable
,,19,26,31,Remission
356,75,,44,43,Remission
184,,,20,24,Progressing
70,406,45,36,24,Remission
378,225,34,8,49,Progressing
216,128,28,,13,Progressing
323,51,11,41,42,Progressing
437,432,17,46,26,Progressing
138,465,43,20,47,Stable
365,181,1,16,31,Stable
63,325,1,23,26,Progressing
291,166,16,,3,Stable
314,213,9,5,49,Stable
395,337,17,34,38,Remission
102,77,21,,,Stable
435,382,18,36,47,Progressing
389,50,0,12,47,Progressing
141,,23,,2,Progressing
416,105,35,31,24,Progressing
493,,24,0,23,Remission
477,161,35,48,,Stable
313,335,30,34,7,Progressing
480,359,30,18,38,Remission
84,85,1,11,30,Progressing
255,488,18,,16,Stable
130,266,11,39,42,Remission
,129,,46,30,Stable
99,363,30,42,3,Remission
409,132,,19,3,Progressing
437,114,21,32,36,Progressing
51,374,22,28,7,Stable
439,177,22,15,41,Stable
103,356,14,13,48,Remission
155,71,25,6,5,Stable
309,265,2,5,8,Stable
359,156,22,20,41,Progressing
240,158,19,35,,Progressing
451,421,44,21,,Progressing
267,406,39,39,14,Progressing
93,230,38,,,Progressing
,405,7,24,22,Progressing
251,213,17,,4,Progressing
495,,40,35,49,Remission
319,341,5,44,26,Progressing
400,229,26,,32,Progressing
353,230,35,10,1,Progressing
320,483,14,47,41,Progressing
264,218,36,41,37,Progressing
301,451,4,46,27,Stable
239,71,38,26,23,Stable
345,115,8,41,,Progressing
262,70,6,1,30,Progressing
257,149,40,5,10,Progressing
286,,19,45,49,Remission
387,,9,1,27,Progressing
416,152,,41,47,Remission
102,96,,16,39,Remission
,,37,,3,Progressing
459,334,,47,42,Stable
266,359,13,13,41,Progressing
301,139,40,9,15,Progressing
237,134,0,44,11,Stable
429,322,16,,21,Stable
90,385,44,41,34,Progressing
206,237,23,11,42,Progressing
64,208,26,31,15,Remission
,292,6,48,23,Stable
114,122,,23,34,Remission
394,,42,13,27,Remission
376,150,34,4,41,Remission
58,51,11,4,28,Remission
393,293,20,46,20,Stable
178,225,2,31,,Stable
185,287,14,44,24,Stable
112,447,20,48,38,Progressing
188,108,9,32,30,Remission
130,402,32,45,14,Progressing
441,,45,3,46,Stable
212,491,5,29,,Stable
468,,1,40,34,Progressing
338,491,,,,Remission
428,484,,2,49,Stable
310,51,32,12,21,Remission
280,292,,43,4,Remission
90,,3,47,47,Stable
77,260,28,,,Progressing
184,172,36,17,,Remission
250,278,19,,2,Progressing
377,131,40,34,,Remission
317,193,22,48,26,Remission
467,437,44,32,26,Stable
82,189,17,35,29,Progressing
97,78,48,16,5,Remission
456,440,24,38,24,Progressing
,319,0,33,27,Remission
265,296,14,11,21,Progressing
,61,33,4,3,Progressing
148,404,47,,14,Stable
221,438,19,39,,Remission
409,386,,26,17,Remission
,155,26,39,8,Remission
84,81,21,12,,Remission
498,123,4,25,47,Stable
276,220,33,13,49,Stable
150,386,38,31,4,Remission
480,,2,10,44,Progressing
,350,16,37,5,Stable
,411,23,15,11,Progressing
54,186,,21,,Progressing
267,482,2,46,46,Progressing
304,466,44,15,8,Remission
447,149,6,12,,Stable
408,195,24,11,28,Remission
332,58,2,17,13,Progressing
442,111,14,28,19,Remission
256,234,28,17,47,Progressing
64,78,,45,31,Remission
395,430,28,1,21,Remission
91,163,9,1,35,Stable
429,458,,2,,Stable
228,192,22,28,17,Progressing
112,439,38,7,39,Progressing
401,169,8,10,48,Progressing
280,219,36,11,,Remission
,206,39,31,30,Progressing
101,384,13,3,34,Stable
145,398,3,8,,Progressing
437,309,19,23,3,Progressing
271,,27,48,41,Remission
456,291,13,15,47,Stable
280,490,43,16,19,Progressing
286,482,33,46,33,Stable
,221,12,21,11,Progressing
,280,30,6,15,Stable
78,257,32,,41,Progressing
85,124,38,28,4,Progressing
62,319,27,35,43,Remission
209,436,,23,34,Remission
,163,31,45,43,Stable
236,111,8,13,26,Stable
292,411,27,13,,Stable
135,369,30,24,33,Stable
333,151,16,45,42,Remission
115,478,22,21,31,Stable
219,411,12,49,43,Progressing
94,,9,46,38,Progressing
111,491,15,22,,Progressing
490,304,5,,30,Remission
183,,47,25,12,Stable
333,107,10,26,,Progressing
77,161,2,44,1,Progressing
157,362,27,11,29,Remission
93,245,,18,9,Remission
389,424,14,18,22,Remission
335,,12,33,,Progressing
495,141,41,31,38,Remission
380,101,44,28,44,Progressing
177,342,16,20,28,Stable
397,57,6,34,29,Progressing
280,349,27,41,33,Stable
239,147,37,4,,Progressing
274,285,12,11,16,Stable
434,438,16,6,,Progressing
426,423,14,40,4,Progressing
332,118,35,1,10,Progressing
495,464,27,24,21,Progressing
170,94,14,9,31,Remission
165,186,45,37,23,Progressing
282,283,10,43,10,Progressing
308,81,30,5,10,Remission
408,338,3,,16,Remission
247,175,34,34,31,Remission
460,116,33,9,18,Remission
186,79,26,8,26,Remission
367,163,9,19,31,Remission
214,253,29,36,24,Remission
274,78,44,34,27,Remission
,180,19,36,,Remission
283,234,28,39,,Remission
221,302,28,7,13,Remission
201,335,22,45,41,Stable
364,442,49,30,38,Progressing
423,459,20,48,1,Progressing
209,435,47,42,16,Remission
145,111,42,15,0,Remission
282,,9,27,44,Stable
229,479,40,,31,Remission
162,117,11,31,18,Stable
367,74,29,27,13,Progressing
491,,32,10,30,Progressing
101,190,17,41,17,Remission
317,280,13,22,13,Stable
,349,21,29,46,Stable
435,212,20,,13,Progressing
436,360,0,27,23,Progressing
162,,48,23,4,Stable
150,179,42,27,15,Stable
162,494,14,23,4,Progressing
489,295,35,14,12,Stable
130,346,46,38,15,Progressing
236,221,21,49,,Stable
162,113,31,32,30,Remission
51,80,45,,4,Progressing
179,96,32,33,,Stable
269,179,40,21,,Progressing
,401,38,28,22,Stable
392,382,22,33,37,Remission
273,159,42,41,28,Remission
,118,1,46,,Remission
434,107,1,9,31,Progressing
452,155,37,44,47,Remission
175,349,28,29,41,Progressing
179,379,45,10,26,Remission
102,305,2,33,33,Progressing
221,,38,20,44,Remission
267,220,6,12,48,Stable
209,432,35,24,,Stable
247,211,28,20,3,Progressing
465,335,36,0,17,Remission
296,,48,4,5,Remission
373,304,35,21,27,Stable
488,423,22,6,43,Remission
252,104,44,12,,Remission
233,372,15,44,25,Progressing
172,446,47,22,,Stable
,52,30,20,12,Remission
304,,33,5,27,Remission
343,362,49,19,33,Progressing
329,175,0,11,48,Progressing
374,457,17,39,22,Progressing
421,102,,,,Progressing
147,247,42,49,29,Remission
,348,14,27,21,Remission
444,237,47,10,4,Remission
289,235,48,31,43,Progressing
193,354,16,10,49,Remission
146,347,43,23,8,Stable
250,253,9,14,42,Stable
173,499,19,40,3,Remission
236,60,5,34,41,Progressing
375,408,7,16,0,Stable
398,403,44,,33,Remission
308,195,33,,40,Stable
197,134,31,,25,Stable
301,149,,18,17,Stable
492,153,3,40,15,Stable
469,,43,,22,Remission
452,95,49,16,45,Stable
,93,38,49,35,Remission
196,327,19,22,25,Stable
197,230,23,46,1,Stable
401,236,23,0,43,Stable
248,163,25,9,4,Remission
357,304,24,7,28,Stable
466,430,35,41,3,Stable
473,429,,25,46,Progressing
177,79,9,,,Stable
,313,46,,21,Progressing
387,147,,13,48,Remission
409,362,0,7,7,Stable
178,416,49,0,,Stable
316,378,24,47,20,Progressing
490,164,15,24,7,Progressing
483,325,4,23,4,Stable
200,330,18,46,20,Remission
464,324,,19,26,Progressing
347,310,5,29,,Stable
148,,25,4,4,Progressing
312,256,48,2,20,Remission
301,433,,31,7,Progressing
193,377,38,16,21,Stable
395,260,8,41,17,Progressing
161,264,44,4,3,Remission
,460,13,10,3,Stable
418,89,47,37,36,Stable
51,75,,3,14,Stable
434,,,38,37,Stable
353,239,36,18,26,Remission
303,132,49,38,20,Stable
189,,19,45,,Remission
86,483,7,48,45,Remission
209,219,31,22,45,Progressing
58,462,46,16,47,Progressing
282,216,,12,,Stable
148,237,40,26,10,Stable
196,218,18,0,18,Remission
353,338,28,1,18,Progressing
257,278,30,17,26,Stable
180,146,5,35,39,Stable
453,416,3,44,41,Remission
201,65,42,32,27,Progressing
103,328,28,35,4,Stable
169,184,41,,47,Stable
210,75,2,,24,Stable
,401,0,15,2,Stable
165,61,43,3,,Stable
124,121,14,8,9,Stable
162,182,46,48,23,Progressing
469,155,20,20,28,Remission
471,269,45,,44,Remission
